dist,support,nrSegments,information
1.456160,0.037037,2,low
42.632033,0.983539,2,low
11.560896,0.806584,2,low
6.174967,0.971193,2,low
2.386705,0.395062,2,low
41.382552,0.860082,2,low
0.489610,0.020576,2,low
28.764149,0.987654,2,low
1.858650,0.193416,2,low
31.024468,0.942387,2,low
1.691971,0.954733,2,low
41.529248,0.617284,2,low
0.783113,0.004115,2,low
14.645274,0.876543,2,low
2.099528,0.962963,2,low
0.884016,0.004115,2,low
36.230336,0.728395,2,low
0.725458,0.032922,2,low
38.102153,0.893004,2,low
5.493882,0.411523,2,low
3.864613,0.283951,2,low
28.019955,0.847737,2,low
7.236574,0.991770,2,low
4.209410,0.975309,2,low
6.029447,0.255144,3,low
0.249006,0.008230,3,low
2.838378,0.962963,3,low
8.338146,0.823045,3,low
0.489610,0.004115,3,low
8.484842,0.613169,3,low
0.884016,0.004115,3,low
1.519237,0.263374,3,low
0.725458,0.020576,3,low
5.057747,0.510288,3,low
6.062931,0.897119,3,low
5.493882,0.349794,3,low
3.864613,0.090535,3,low
10.378884,0.835391,3,low
0.783113,0.000000,3,low
3.573997,0.209877,3,low
2.099528,0.045267,3,low
2.612324,0.395062,3,low
5.262331,0.991770,3,low
7.290216,0.008230,3,low
1.456160,0.020576,3,low
3.815517,0.897119,3,low
1.173970,0.037037,3,low
6.174967,0.810700,3,low
2.386705,0.263374,3,low
11.123077,0.872428,3,low
2.098072,0.037037,3,low
1.858650,0.053498,3,low
4.292143,0.847737,3,low
1.691971,0.888889,3,low
2.244424,0.008230,3,low
18.250872,0.353909,3,low
4.594000,0.991770,3,low
1.776817,0.106996,3,low
3.240827,0.041152,3,low
4.150105,0.983539,3,low
9.992911,0.724280,3,low
7.236574,0.958848,3,low
14.645274,0.662551,3,low
1.989036,0.925926,3,low
3.379810,0.106996,3,low
11.560896,0.707819,3,low
0.891254,0.106996,3,low
15.236397,0.193416,3,low
5.981782,0.547325,3,low
1.519237,0.004115,4,low
1.846923,0.032922,4,low
0.249006,0.004115,4,low
2.838378,0.954733,4,low
0.419055,0.000000,4,low
23.686519,0.000000,4,low
0.489610,0.000000,4,low
8.484842,0.580247,4,low
5.363214,0.032922,4,low
0.884016,0.000000,4,low
3.493245,0.032922,4,low
0.725458,0.008230,4,low
5.057747,0.213992,4,low
6.062931,0.880658,4,low
5.493882,0.127572,4,low
3.864613,0.061728,4,low
1.745718,0.164609,4,low
10.378884,0.814815,4,low
0.783113,0.000000,4,low
3.573997,0.127572,4,low
2.099528,0.004115,4,low
2.612324,0.024691,4,low
5.262331,0.967078,4,low
7.290216,0.000000,4,low
1.456160,0.020576,4,low
11.266490,0.860082,4,low
3.815517,0.835391,4,low
1.173970,0.032922,4,low
6.174967,0.798354,4,low
2.386705,0.255144,4,low
1.501328,0.074074,4,low
11.123077,0.843621,4,low
2.098072,0.024691,4,low
1.858650,0.020576,4,low
4.292143,0.818930,4,low
1.691971,0.810700,4,low
2.244424,0.008230,4,low
18.250872,0.230453,4,low
4.594000,0.946502,4,low
1.776817,0.102881,4,low
5.999444,0.189300,4,low
3.240827,0.004115,4,low
4.150105,0.954733,4,low
9.992911,0.699588,4,low
11.321952,0.395062,4,low
7.236574,0.946502,4,low
14.645274,0.633745,4,low
1.989036,0.897119,4,low
3.379810,0.020576,4,low
11.560896,0.683128,4,low
0.891254,0.086420,4,low
6.517279,0.057613,4,low
5.981782,0.506173,4,low
1.829707,1.000000,2,low
3.635249,1.000000,2,low
8.465131,1.000000,2,low
0.617681,0.032922,2,low
1.448168,0.238683,2,low
1.263273,0.946502,2,low
6.820469,0.987654,2,low
1.829707,0.995885,3,low
3.635249,0.979424,3,low
8.465131,0.950617,3,low
0.617681,0.020576,3,low
1.448168,0.218107,3,low
1.263273,0.938272,3,low
6.820469,0.975309,3,low
1.088213,0.032922,3,low
1.829707,0.991770,4,low
2.839549,0.872428,4,low
0.782001,0.000000,4,low
3.635249,0.942387,4,low
8.465131,0.950617,4,low
0.617681,0.012346,4,low
1.448168,0.205761,4,low
1.263273,0.925926,4,low
6.820469,0.962963,4,low
1.088213,0.024691,4,low
4.322305,0.181070,2,low
10.852743,1.000000,2,low
4.678583,0.995885,2,low
9.774830,0.847737,3,low
4.322305,0.053498,3,low
10.852743,0.958848,3,low
4.678583,0.967078,3,low
9.774830,0.839506,4,low
4.322305,0.012346,4,low
10.852743,0.946502,4,low
4.678583,0.958848,4,low
10.282464,0.695473,4,low
10.212994,0.872428,4,low
4.856387,0.954733,2,low
4.682186,0.864198,2,low
2.483585,0.909465,2,low
8.109463,0.901235,2,low
6.376415,0.588477,2,low
5.060477,0.975309,2,low
1.286900,0.893004,2,low
1.225419,0.456790,2,low
4.856387,0.905350,3,low
1.479577,0.950617,3,low
1.286900,0.144033,3,low
4.682186,0.827160,3,low
7.338049,0.962963,3,low
4.481980,0.979424,3,low
2.483585,0.473251,3,low
5.027457,0.958848,3,low
8.109463,0.465021,3,low
6.376415,0.580247,3,low
5.060477,0.942387,3,low
9.488104,0.995885,3,low
15.859964,0.230453,3,low
1.225419,0.436214,3,low
3.496805,0.831276,4,low
1.479577,0.950617,4,low
1.286900,0.106996,4,low
15.390577,0.950617,4,low
4.682186,0.786008,4,low
7.338049,0.938272,4,low
4.481980,0.958848,4,low
2.483585,0.473251,4,low
5.027457,0.946502,4,low
8.109463,0.465021,4,low
6.376415,0.572016,4,low
3.700894,0.880658,4,low
1.903493,0.469136,4,low
9.488104,0.987654,4,low
15.859964,0.209877,4,low
1.225419,0.432099,4,low
9.238899,0.995885,2,low
1.649885,0.037037,2,low
4.750528,0.572016,2,low
9.344039,0.641975,2,low
3.295143,0.950617,2,low
2.912230,0.967078,2,low
13.053773,0.699588,2,low
1.385596,0.189300,2,low
16.764824,0.028807,2,low
8.666563,0.983539,2,low
5.981926,0.921811,2,low
4.536910,0.876543,2,low
2.118387,0.971193,2,low
0.842119,0.119342,2,low
6.342855,0.975309,2,low
2.718128,0.123457,2,low
3.859483,0.255144,2,low
2.496959,0.925926,2,low
4.293400,0.008230,3,low
2.348904,0.008230,3,low
5.309639,0.275720,3,low
8.645092,0.950617,3,low
1.649885,0.004115,3,low
4.750528,0.539095,3,low
9.148876,0.967078,3,low
2.128975,0.485597,3,low
1.758167,0.094650,3,low
2.912230,0.954733,3,low
2.838465,0.069959,3,low
0.842119,0.078189,3,low
2.609810,0.864198,3,low
3.129837,0.456790,3,low
13.053773,0.049383,3,low
5.981926,0.699588,3,low
1.411565,0.238683,3,low
6.482498,0.156379,3,low
3.880431,0.226337,3,low
7.239313,0.000000,3,low
1.385596,0.148148,3,low
3.859483,0.090535,3,low
8.072756,0.946502,3,low
2.496959,0.432099,3,low
6.614959,0.942387,3,low
6.828583,0.650206,3,low
4.536910,0.876543,3,low
7.350769,0.008230,3,low
6.342855,0.716049,3,low
2.118387,0.238683,3,low
0.743060,0.222222,3,low
2.718128,0.102881,3,low
5.640440,0.094650,3,low
4.293400,0.000000,4,low
2.348904,0.008230,4,low
5.309639,0.263374,4,low
8.645092,0.901235,4,low
3.624955,0.835391,4,low
1.649885,0.000000,4,low
17.945139,0.267490,4,low
9.148876,0.962963,4,low
2.128975,0.469136,4,low
1.758167,0.090535,4,low
2.912230,0.316872,4,low
2.838465,0.037037,4,low
0.842119,0.074074,4,low
4.651573,0.790123,4,low
2.609810,0.835391,4,low
3.129837,0.444444,4,low
13.053773,0.024691,4,low
4.426135,0.646091,4,low
7.376162,0.329218,4,low
16.069549,0.074074,4,low
1.411565,0.234568,4,low
6.482498,0.078189,4,low
3.880431,0.226337,4,low
8.639281,0.024691,4,low
7.239313,0.000000,4,low
1.385596,0.148148,4,low
3.859483,0.049383,4,low
8.072756,0.419753,4,low
4.161129,0.329218,4,low
2.496959,0.415638,4,low
6.614959,0.930041,4,low
6.828583,0.555556,4,low
4.536910,0.851852,4,low
7.350769,0.008230,4,low
6.342855,0.695473,4,low
2.118387,0.234568,4,low
0.743060,0.028807,4,low
4.750528,0.069959,4,low
2.718128,0.057613,4,low
5.640440,0.090535,4,low
1.181309,0.053498,2,low
1.194538,0.069959,2,low
1.730690,0.057613,2,low
4.734219,0.065844,2,low
5.216945,0.995885,2,low
3.821717,0.987654,2,low
7.512787,0.205761,2,low
1.255649,0.024691,2,low
3.706912,0.991770,2,low
4.871058,1.000000,2,low
5.010579,0.995885,2,low
4.162237,0.156379,2,low
4.707307,0.123457,2,low
6.700632,0.921811,2,low
1.311449,0.362140,2,low
0.479588,0.004115,3,low
1.181309,0.053498,3,low
1.194538,0.041152,3,low
1.730690,0.032922,3,low
6.793430,0.921811,3,low
4.734219,0.065844,3,low
5.520303,0.020576,3,low
5.216945,0.958848,3,low
3.821717,0.987654,3,low
1.809256,0.094650,3,low
8.373074,0.983539,3,low
7.512787,0.193416,3,low
1.255649,0.016461,3,low
3.706912,0.987654,3,low
7.611169,0.901235,3,low
4.871058,0.962963,3,low
5.010579,0.971193,3,low
4.162237,0.152263,3,low
4.707307,0.115226,3,low
6.700632,0.893004,3,low
5.770123,0.650206,3,low
1.019320,0.065844,3,low
4.626669,0.909465,3,low
0.479588,0.000000,4,low
1.181309,0.049383,4,low
1.194538,0.016461,4,low
7.248079,0.049383,4,low
3.209560,0.967078,4,low
1.730690,0.008230,4,low
6.793430,0.909465,4,low
4.734219,0.065844,4,low
5.520303,0.020576,4,low
5.216945,0.921811,4,low
3.821717,0.971193,4,low
8.373074,0.975309,4,low
7.512787,0.185185,4,low
1.255649,0.008230,4,low
3.706912,0.971193,4,low
7.611169,0.868313,4,low
4.871058,0.946502,4,low
5.010579,0.962963,4,low
1.809256,0.061728,4,low
4.162237,0.152263,4,low
4.707307,0.115226,4,low
6.700632,0.876543,4,low
5.770123,0.650206,4,low
1.019320,0.053498,4,low
4.626669,0.905350,4,low
0.781744,0.000000,2,low
8.064116,0.995885,2,low
9.706657,0.995885,2,low
6.617929,1.000000,2,low
2.106315,0.493827,2,low
4.157212,0.049383,2,low
0.493580,0.008230,2,low
0.781744,0.000000,3,low
8.064116,0.987654,3,low
9.706657,0.987654,3,low
6.617929,0.991770,3,low
2.106315,0.485597,3,low
4.157212,0.037037,3,low
0.493580,0.000000,3,low
5.701419,0.991770,3,low
0.781744,0.000000,4,low
8.064116,0.987654,4,low
9.706657,0.983539,4,low
6.617929,0.831276,4,low
2.106315,0.382716,4,low
4.157212,0.028807,4,low
0.493580,0.000000,4,low
5.701419,0.991770,4,low
12.017771,0.987654,4,low
16.839356,0.995885,2,low
0.576878,0.016461,2,low
1.721407,0.362140,2,low
0.468039,0.000000,2,low
0.138577,0.024691,2,low
1.794285,0.325103,2,low
5.193467,0.901235,2,low
16.839356,0.942387,3,low
0.576878,0.004115,3,low
18.952050,0.275720,3,low
1.426708,0.950617,3,low
1.405799,0.020576,3,low
4.803461,0.987654,3,low
2.062679,0.144033,3,low
1.721407,0.325103,3,low
0.468039,0.000000,3,low
0.138577,0.008230,3,low
2.892106,0.897119,3,low
1.794285,0.316872,3,low
3.350321,0.818930,3,low
4.822867,0.979424,3,low
2.000674,0.987654,3,low
3.756463,0.209877,3,low
16.839356,0.930041,4,low
0.576878,0.000000,4,low
18.952050,0.251029,4,low
1.426708,0.823045,4,low
0.822594,0.016461,4,low
1.405799,0.008230,4,low
4.803461,0.979424,4,low
2.062679,0.144033,4,low
1.721407,0.296296,4,low
0.468039,0.000000,4,low
0.138577,0.008230,4,low
2.892106,0.876543,4,low
1.794285,0.312757,4,low
3.350321,0.794239,4,low
4.822867,0.950617,4,low
2.000674,0.979424,4,low
3.756463,0.189300,4,low
4.636623,0.917695,2,low
4.048941,0.860082,2,low
1.986560,0.975309,2,low
1.005870,0.061728,2,low
9.484314,0.000000,2,low
7.908427,0.991770,2,low
6.413233,0.798354,2,low
1.420886,0.995885,2,low
3.918272,0.921811,2,low
2.486619,0.934156,3,low
4.199599,0.427984,3,low
1.042406,0.004115,3,low
0.645277,0.580247,3,low
4.048941,0.794239,3,low
10.979192,0.971193,3,low
1.986560,0.938272,3,low
5.414612,0.481481,3,low
2.575954,0.000000,3,low
1.005870,0.057613,3,low
4.809531,0.000000,3,low
7.908427,0.913580,3,low
4.636623,0.242798,3,low
2.223060,0.967078,3,low
1.420886,0.650206,3,low
3.918272,0.864198,3,low
11.101253,0.934156,3,low
0.978105,0.975309,3,low
2.486619,0.909465,4,low
4.199599,0.419753,4,low
1.042406,0.000000,4,low
0.645277,0.572016,4,low
4.048941,0.744856,4,low
10.979192,0.958848,4,low
1.986560,0.913580,4,low
5.414612,0.444444,4,low
2.575954,0.000000,4,low
6.720410,0.905350,4,low
4.809531,0.000000,4,low
1.005870,0.008230,4,low
4.155706,0.765432,4,low
3.965991,0.798354,4,low
4.636623,0.213992,4,low
2.223060,0.950617,4,low
1.420886,0.629630,4,low
3.918272,0.847737,4,low
11.101253,0.897119,4,low
0.978105,0.950617,4,low
2.036250,0.041152,2,low
6.840332,1.000000,2,low
1.688917,0.884774,2,low
5.892435,0.991770,2,low
1.407951,0.028807,2,low
7.000182,0.950617,3,low
1.197517,0.016461,3,low
5.120065,1.000000,3,low
5.699634,0.983539,3,low
2.036250,0.020576,3,low
1.928012,0.004115,3,low
1.688917,0.876543,3,low
5.892435,0.979424,3,low
1.407951,0.012346,3,low
2.931315,0.962963,3,low
0.421722,0.000000,4,low
7.000182,0.921811,4,low
1.197517,0.008230,4,low
5.120065,1.000000,4,low
5.699634,0.983539,4,low
2.036250,0.020576,4,low
1.928012,0.000000,4,low
1.688917,0.823045,4,low
5.892435,0.971193,4,low
1.407951,0.004115,4,low
2.931315,0.950617,4,low
1.461211,0.296296,2,low
0.986855,0.222222,2,low
0.691765,0.086420,2,low
0.843231,0.008230,2,low
2.147244,0.744856,2,low
2.693756,0.962963,2,low
0.708318,0.016461,2,low
1.578750,0.987654,2,low
6.387746,0.567901,2,low
2.981677,0.399177,2,low
1.094198,0.979424,2,low
0.834636,0.617284,2,low
0.309646,0.345679,2,low
0.956889,0.016461,2,low
3.046640,0.757202,2,low
2.514342,0.378601,2,low
0.383883,0.308642,2,low
1.629559,0.411523,2,low
0.841566,0.559671,2,low
1.461211,0.288066,3,low
0.986855,0.119342,3,low
0.691765,0.065844,3,low
0.843231,0.008230,3,low
2.308540,0.094650,3,low
1.141120,0.234568,3,low
0.708318,0.008230,3,low
1.578750,0.913580,3,low
1.014483,0.045267,3,low
1.094198,0.967078,3,low
0.834636,0.045267,3,low
0.222680,0.016461,3,low
3.046640,0.679012,3,low
1.328277,0.094650,3,low
0.841566,0.502058,3,low
0.309646,0.000000,3,low
2.147244,0.687243,3,low
2.555039,0.526749,3,low
2.693756,0.946502,3,low
2.030884,0.028807,3,low
0.290777,0.004115,3,low
0.878993,0.069959,3,low
6.188237,0.209877,3,low
1.510731,0.086420,3,low
6.390065,0.316872,3,low
1.170475,0.000000,3,low
0.779898,0.004115,3,low
0.776334,0.000000,3,low
1.680751,0.102881,3,low
0.956889,0.000000,3,low
0.383883,0.032922,3,low
1.629559,0.325103,3,low
1.461211,0.259259,4,low
0.986855,0.106996,4,low
0.691765,0.065844,4,low
2.884191,0.452675,4,low
0.843231,0.008230,4,low
3.574335,0.090535,4,low
1.721119,0.020576,4,low
1.141120,0.197531,4,low
0.708318,0.004115,4,low
1.578750,0.884774,4,low
1.014483,0.008230,4,low
0.251967,0.000000,4,low
1.094198,0.954733,4,low
0.834636,0.008230,4,low
0.222680,0.012346,4,low
1.113912,0.481481,4,low
1.328277,0.008230,4,low
0.841566,0.053498,4,low
0.309646,0.000000,4,low
0.972442,0.041152,4,low
1.822554,0.012346,4,low
2.693756,0.925926,4,low
2.030884,0.008230,4,low
0.290777,0.000000,4,low
0.878993,0.012346,4,low
0.362062,0.020576,4,low
2.762014,0.156379,4,low
1.510731,0.020576,4,low
2.963842,0.074074,4,low
1.170475,0.000000,4,low
0.779898,0.004115,4,low
2.555039,0.497942,4,low
0.776334,0.000000,4,low
1.680751,0.000000,4,low
0.956889,0.000000,4,low
1.353472,0.160494,4,low
0.383883,0.012346,4,low
1.629559,0.292181,4,low
2.704831,0.662551,2,low
7.802801,0.596708,2,low
8.463215,0.016461,2,low
1.488122,0.716049,2,low
2.836946,0.139918,2,low
4.087156,0.954733,2,low
3.650628,0.979424,2,low
4.638724,0.991770,2,low
4.059255,0.979424,2,low
3.275789,0.991770,2,low
7.479630,0.436214,2,low
7.180558,1.000000,2,low
1.975567,0.798354,3,low
7.479630,0.283951,3,low
2.704831,0.506173,3,low
0.706077,0.069959,3,low
8.463215,0.016461,3,low
1.488122,0.341564,3,low
7.418870,0.028807,3,low
1.927404,0.065844,3,low
6.723674,0.316872,3,low
3.589995,0.613169,3,low
2.836946,0.016461,3,low
4.087156,0.115226,3,low
7.564723,0.316872,3,low
4.938319,0.094650,3,low
3.650628,0.958848,3,low
5.515067,0.271605,3,low
4.638724,0.860082,3,low
0.338368,0.032922,3,low
4.059255,0.473251,3,low
7.293303,0.962963,3,low
2.323113,0.864198,3,low
4.191762,0.111111,3,low
7.180558,0.975309,3,low
7.802801,0.016461,3,low
9.023403,0.460905,3,low
1.975567,0.781893,4,low
2.319174,0.304527,4,low
6.368238,0.094650,4,low
6.473855,0.057613,4,low
2.224090,0.485597,4,low
0.706077,0.012346,4,low
8.463215,0.016461,4,low
1.488122,0.320988,4,low
3.434694,0.061728,4,low
8.363247,0.748971,4,low
1.927404,0.041152,4,low
6.723674,0.312757,4,low
3.134481,0.049383,4,low
7.564723,0.304527,4,low
